PassengerId,Survived
791,0
792,0
793,0
794,0
795,0
796,1
797,1
798,0
799,0
800,0
801,1
802,1
803,1
804,1
805,0
806,0
807,0
808,0
809,1
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,1
821,1
822,0
823,1
824,0
825,0
826,0
827,1
828,1
829,1
830,1
831,1
832,0
833,0
834,0
835,1
836,0
837,0
838,1
839,1
840,0
841,0
842,1
843,0
844,0
845,0
846,0
847,0
848,0
849,1
850,0
851,0
852,0
853,1
854,0
855,1
856,1
857,1
858,1
859,0
860,0
861,0
862,1
863,0
864,0
865,1
866,1
867,0
868,0
869,1
870,0
871,1
872,0
873,0
874,1
875,1
876,0
877,0
878,0
879,1
880,1
881,0
882,0
883,0
884,0
885,0
886,0
887,1
888,0
889,1
890,0
